function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/cmd/semanticizest/webserver.go/writePort,"""github.com/semanticize/st/cmd/semanticizest.writePort""",3,125,9,2,1,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
/hash/countmin/countmin_test.go/TestCopy,"""github.com/semanticize/st/hash/countmin.TestCopy""",2,204,8,1,0,14,6,3,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linking/semanticizer_test.go/BenchmarkCandidates,"""github.com/semanticize/st/linking.BenchmarkCandidates""",2,148,19,1,0,7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linking/semanticizer_test.go/testLogger,"""github.com/semanticize/st/linking.testLogger""",2,148,10,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hash/countmin/countmin.go/min32,"""github.com/semanticize/st/hash/countmin.min32""",2,376,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/wikidump/download.go/newPbWriter,"""github.com/semanticize/st/wikidump.newPbWriter""",6,95,11,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/semanticizest/main.go/main,"""github.com/semanticize/st/cmd/semanticizest.main""",3,77,4,0,0,36,20,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hash/countmin/countmin_test.go/TestNewFromProb,"""github.com/semanticize/st/hash/countmin.TestNewFromProb""",2,204,15,1,0,9,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linking/semanticizer.go/allFromTokens,"""(github.com/semanticize/st/linking.Semanticizer).allFromTokens""",2,147,13,2,2,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hash/countmin/countmin.go/Add,"""(*github.com/semanticize/st/hash/countmin.Sketch).Add""",2,376,3,1,0,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hash/countmin/countmin_test.go/TestCounts,"""github.com/semanticize/st/hash/countmin.TestCounts""",2,204,10,1,0,15,5,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hash/countmin/countmin.go/makerows,"""github.com/semanticize/st/hash/countmin.makerows""",2,376,8,1,1,8,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/nlp/ngrams_test.go/TestNGrams,"""github.com/semanticize/st/nlp.TestNGrams""",4,101,10,1,0,33,12,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/wikidump/pages.go/getText,"""github.com/semanticize/st/wikidump.getText""",6,107,7,1,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/dumpparser/main.go/open,"""github.com/semanticize/st/internal/dumpparser.open""",2,293,4,1,2,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/internal/dumpparser/main.go/min,"""github.com/semanticize/st/internal/dumpparser.min""",2,293,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/wikidump/pages.go/GetPages,"""github.com/semanticize/st/wikidump.GetPages""",6,107,8,3,0,21,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,2,6,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/storage/database.go/LoadCM,"""github.com/semanticize/st/internal/storage.LoadCM""",2,298,6,1,2,25,8,2,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/wikidump/download.go/Write,"""(*github.com/semanticize/st/wikidump.pbWriter).Write""",6,95,5,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hash/countmin/countmin_test.go/TestNewFromCounts,"""github.com/semanticize/st/hash/countmin.TestNewFromCounts""",2,204,17,1,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/wikidump/wikisyntax_test.go/BenchmarkCleanup,"""github.com/semanticize/st/wikidump.BenchmarkCleanup""",6,215,16,1,0,11,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/storage/database.go/StoreCM,"""github.com/semanticize/st/internal/storage.StoreCM""",2,298,7,2,1,20,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linking/semanticizer_test.go/TestEndToEnd,"""github.com/semanticize/st/linking.TestEndToEnd""",2,148,12,1,0,14,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/wikidump/wikisyntax_test.go/checkLink,"""github.com/semanticize/st/wikidump.checkLink""",6,215,9,3,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/semanticizest-dumpparser/main.go/init,"""github.com/semanticize/st/cmd/semanticizest-dumpparser.init""",1,43,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/hash/countmin/countmin.go/Add1,"""(*github.com/semanticize/st/hash/countmin.Sketch).Add1""",2,376,4,1,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hash/countmin/countmin_test.go/BenchmarkCountMinAdd1,"""github.com/semanticize/st/hash/countmin.BenchmarkCountMinAdd1""",2,204,21,1,0,9,5,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/dumpparser/main.go/pageProgress,"""github.com/semanticize/st/internal/dumpparser.pageProgress""",2,293,12,3,0,18,8,1,0,1,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
/linking/semanticizer.go/All,"""(github.com/semanticize/st/linking.Semanticizer).All""",2,147,3,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/wikidump/wikisyntax_test.go/TestCleanup,"""github.com/semanticize/st/wikidump.TestCleanup""",6,215,11,1,0,26,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/wikidump/download_test.go/TestDownload,"""github.com/semanticize/st/wikidump.TestDownload""",6,83,12,1,0,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
/wikidump/pages_test.go/BenchmarkGetPages,"""github.com/semanticize/st/wikidump.BenchmarkGetPages""",6,75,17,1,0,26,13,3,2,2,0,0,0,2,0,0,0,1,0,0,0,2,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
/wikidump/wikisyntax_test.go/Swap,"""(github.com/semanticize/st/wikidump.sortByAnchor).Swap""",6,215,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/semanticizest/webserver.go/ServeHTTP,"""(github.com/semanticize/st/cmd/semanticizest.allHandler).ServeHTTP""",3,125,9,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/cmd/semanticizest/main_test.go/TestSplitPara,"""github.com/semanticize/st/cmd/semanticizest.TestSplitPara""",3,25,13,1,0,16,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hash/countmin/countmin.go/NewFromProb,"""github.com/semanticize/st/hash/countmin.NewFromProb""",2,376,11,1,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/nlp/tokenize_test.go/TestTokenize,"""github.com/semanticize/st/nlp.TestTokenize""",4,48,12,1,0,43,18,2,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/internal/dumpparser/main.go/realMain,"""github.com/semanticize/st/internal/dumpparser.realMain""",2,293,8,3,0,101,54,4,0,5,2,1,3,5,1,0,0,7,0,1,0,3,0,0,2,0,1,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/internal/storage/database.go/Finalize,"""github.com/semanticize/st/internal/storage.Finalize""",2,298,8,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hash/ngrams.go/NGramsPos,"""github.com/semanticize/st/hash.NGramsPos""",2,63,9,2,1,16,17,2,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
