function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
/linters/staticscan/ssa/ssa.go/setBlock,"""(*github.com/wgliang/goreporter/linters/staticscan/ssa.anInstruction).setBlock""",20,1745,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linters/staticscan/ssa/ssa.go/Pos,"""(*github.com/wgliang/goreporter/linters/staticscan/ssa.Jump).Pos""",20,1745,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linters/staticscan/ssa/source_test.go/TestEnclosingFunction,"""github.com/wgliang/goreporter/linters/staticscan/ssa_test.TestEnclosingFunction""",5,389,21,1,0,83,15,1,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linters/staticscan/testdata/CheckInfiniteRecursion.go/fn3,"""_/home/mikael/Desktop/BenchmarkProjects/wgliang/goreporter/src/github.com/wgliang/goreporter/linters/staticscan/testdata.fn3""",64,65,3,1,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linters/copycheck/suffixtree/dupl.go/add,"""(*github.com/wgliang/goreporter/linters/copycheck/suffixtree.posList).add""",4,98,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linters/cyclo/cyclo.go/isDir,"""github.com/wgliang/goreporter/linters/cyclo.isDir""",2,213,5,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
/linters/staticscan/callgraph/rta/rta.go/Analyze,"""github.com/wgliang/goreporter/linters/staticscan/callgraph/rta.Analyze""",1,417,7,2,1,37,13,2,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linters/countcode/countcode.go/mName,"""github.com/wgliang/goreporter/linters/countcode.mName""",2,272,5,1,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linters/simplecode/testdata/if-simpler-return.go/fn6,"""_/home/mikael/Desktop/BenchmarkProjects/wgliang/goreporter/src/github.com/wgliang/goreporter/linters/simplecode/testdata.fn6""",29,105,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/linters/staticscan/testdata/CheckConcurrentTesting.go/fn2,"""_/home/mikael/Desktop/BenchmarkProjects/wgliang/goreporter/src/github.com/wgliang/goreporter/linters/staticscan/testdata.fn2""",64,25,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
